ID,official_name,type,text_subchapters,illustrations,synonyms,Label
ID236,Tzon-pilihuiz-xihuitl,plant,04a; 07g,p024_01,tzonpilihuiz xihuitl; tzonpilihuiz-xihuitl,"Tzon/hair; Xihuitl/herbs, green leaves"
ID237,Tzopelica-cococ,plant,06b,,,Cococ/hot or spicy
ID238,Tzotzoca-xihuitl,plant,,p096_01,tzotzoca xihuitl,"Xihuitl/herbs, green leaves"
ID240,Xal-tomatl,plant,05e; 09e; 11a,p014_01,,Tomatl/tomato; Xal/sand
ID241,Xa-xocotl,plant,07k; 09e,,,Xocotl/sour fruit
ID242,Xe-xihuitl,plant,08j,,,"Xihuitl/herbs, green leaves"
ID243,Xilo-xochitl,plant,09m,,,Xochitl/flower
ID245,Xiuh-patli,plant,11c,p067_09,xiuh pahtli; xiuhpatli,"Patli/medicine; Xihuitl/herbs, green leaves"
ID246,Xiuh-tlemaitl,plant,09k,,,"Xihuitl/herbs, green leaves"
ID247,Xiuhtontli,plant,05h; 07i; 08a; 08h; 09f,,xiuh-tontli,"Xihuitl/herbs, green leaves"
ID248,Xomalin,plant,,p110_02,,NA
ID250,Ohua-xoxocoyolin,plant,07j; 08c; 09h,p017_01,ohua-xocoyolin,Xocotl/sour fruit
ID251,Quauhtla xoxocoyolin,plant,,p009_01,quauhtla-xoxocoyolin,Quahuitl/tree or wood; Xocotl/sour fruit
ID252,xoxouhca-patli,plant,03a; 06i; 08g,p022_02; p063_01,quetzal-xoxouhqui; xoxouhqui-patli,Patli/medicine; Xocotl/sour fruit
ID253,xoxouhqui-itzli,plant,07h,,,Xocotl/sour fruit
ID254,Zaca-matlalin,plant,09b; 09o,p089_01,zaca malalin,Zacatl/grass
ID255,Zozoyatic,plant,10i,p102_01,,NA
ID256,Temamatlatzin,plant,05i,,,NA
ID257,Tonatiuh yxiuh v1,plant,06f; 06g; 08e; 09b; 09e; 09h; 09o; 10d; 13a,,tonatiuh yxiuh; tonatiuh-yxiuh,"Tonatiuh/sun; Xihuitl/herbs, green leaves"
ID258,Tonatiuh yxiuh v2,plant,07h,p051_02,tonatiuh yxiuh pepetlaca; tonatiuh-yxiuh,"Tonatiuh/sun; Xihuitl/herbs, green leaves"
ID259,Tecpatl,plant,06f,,,NA
ID260,Tetlahuitl v1,plant,07b,,tetlahuitl,NA
ID261,Chichic-xihuitl,plant,07m,,,"Chichic/bitter; Xihuitl/herbs, green leaves"
ID262,Xococ quahuitl,plant,,p069_04,,Quahuitl/tree or wood; Xocotl/sour fruit
ID263,teco-xochiti-xihuitl,plant,09b,,,"Xihuitl/herbs, green leaves; Xochitl/flower"
ID264,tepaquilti quahuitl,plant,09q,,,Quahuitl/tree or wood
ID265,A-camallo-tetl v1,plant,12a,p113_01,a-camallo-tetl,Atl/water; Tetl/stone
ID266,tetlahuitl v2,stone,01a; 03a; 07c; 08j; 08k; 08l; 09f; 10e; 11c,,tetlahuital; tetlahuitl,Tetl/stone
ID267,iztac tlalli,stone,01a,,,Iztac/white; Tlalli/land
ID268,eztetl,stone,01a; 03a; 05d; 08d; 08j; 08k; 08l; 09e; 09f; 10e; 11a; 11b; 11c; 13a,,ez-tetl,Eztli/blood; Tetl/stone
ID269,te-mamatlatzin,stone,01a,,,Te/stone
ID270,atzitzicuilotl,animal,01c,,,Atl/water
ID271,avat-tecolotl,animal,01e,,,Tecolotl/owl
ID272,tlacal-huatzin,stone,01f; 02b; 03a; 07b; 08j; 08k; 08l; 09e; 10e; 13a,,tlaca-huatzin; tlacahuatzin; tlacalhuatzin,Tlacatl/person
ID273,chilmolli,other,02b,,,Chilli/chile; Molli/sauce
ID274,molo-tototl,bird,02b,,,Tototl/bird
ID276,iztac-quetzaliztli,stone,05c,,,Iztac/white
ID277,chichiltic tapachtli,stone,05c; 05h; 07c,,,Chichiltic/red
ID278,xochi-ocotzotl,other,05c; 06a; 08j; 09q; 10k,,xochi-oco-tzotl,Ocotl/pine; Xochitl/flower
ID279,a-camallo-tetl v2,stone,05e; 07d; 09e; 12a,,a-camallo-tetl; a-camollotetl,Atl/water; Tetl/stone
ID280,teo-xihuitl v2,stone,05h,,teo-xihuitl,"Teo/divine; Xihuitl/herbs, green leaves"
ID281,xiuh-tomolli,stone,07d; 07h; 09b,,,"Xihuitl/herbs, green leaves"
ID282,te-xoxoctli,stone,08a,,,Te/stone; Xocotl/sour fruit
ID283,eca-cohuatl,animal,08f,,,Ecatl/wind
ID284,huacton,bird,08h,,,NA
ID285,hoxitl,other,08i,,,NA
ID286,cuetlachtli,animal,08l,,,NA
ID287,miztli,animal,08l,,,NA
ID288,ocotochtli,animal,08l,,,Ocotl/pine
ID289,tlaco-ocelotl,animal,08l,,,Tlaco/half or middle
ID290,quetzal-iztli,stone,08l,,,"Iztli/obsidian or blade; Quetzal/precious, feathered, or green"
ID291,huexo-canauhtli,bird,08l; 09b; 09e; 09f,,,NA
ID292,huactli,bird,08l; 09b; 10a; 10e,,hauctli,NA
ID293,apopotli,bird,08l; 09b,,,NA
ID294,coyotl,animal,08l,,,Coyotl/coyote
ID295,huitlalotl,bird,09b; 13a,,huitla-tototl,NA
ID296,aztatl,bird,09b,,,NA
ID297,tlacahuilotl,bird,09b,,,Tlacatl/person
ID298,xiuh-quechol-tototl,bird,09b; 10e; 13a,,quechol-tototl; xiuhquechol-tototl,"Tototl/bird; Xihuitl/herbs, green leaves"
ID299,tototl,bird,09b,,,Tototl/bird
ID300,tlapal-tototl,bird,09b; 10e; 13a,,tlapa-tototl; tlpal-tototl,Tototl/bird
ID301,noch-tototl,bird,09b; 09e; 13a,,noch-totl,Nochtli/prickly pear; Tototl/bird
ID302,acatzanatl,bird,09b,,,Acatl/reed
ID303,zolin,bird,09b,,,NA
ID304,texalli,stone,09b,,,Tetl/stone; Xal/sand
ID305,huitzitzilin,bird,09e,,,Huitzihtzil/colibri
ID306,cocotli,bird,09e,,,NA
ID307,pezotli,animal,09e,,,NA
ID309,octli,other,10h; 11a,,,NA
ID310,tlaquatzin,animal,11a,,,Tla/thing or something
