ID,official_name,type,subchapter_code,language,synonym_found,morphemes,illustrations,master_sheet_subchapters_linked
ID056,Quauh-yyauhtli,plant,08j,english,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,08j,spanish,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,08l,english,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,08l,spanish,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,09l,english,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,09l,spanish,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,09q,english,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,09q,spanish,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,10b,english,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,10b,spanish,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
ID056,Quauh-yyauhtli,plant,10j,english,yyauhtli,Quahuitl/tree or wood; Yauhtli/medicinal marigold,p091_02,08j; 08l; 09l; 09q; 10b; 10j; 11d
